"ORSEE_code","trial_id","subject_nr","subject_parity","age","gender","GEB.est","svs_biospheric","svs_altruistic","svs_egoistic","svs_hedonic","EU_ETS","vege_Q1","vege_Q2","vege_Q3","offer_resp_time","trial_order","carbon","money","proenv_decision","decision_diff_resp","DT_Carbon","DT_Money","DT_Total","Rel_DT_Carbon","first_fix_Carbon","last_fix_Carbon","FixCount_Carbon","FixCount_Money","FixCount_Total","Rel_FixCount_Carbon","FixDuration_Carbon","FixDuration_Money","Rel_FixDuration_Carbon","MeanFixDuration","nb_transition"
7764,3,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3632,7,20,14,0,2,368.013,1866.01,2234.02,0.16,0,0,2,6,8,0.25,184.0065,311.001666666667,0.37,279.252875,4
7764,30,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1153,26,95,11,1,1,116.007,415.002,531.01,0.22,0,0,1,2,3,0.33,116.007,207.501,0.36,177.003,2
7764,31,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1402,18,95,14,1,1,248.998,681.011,930.01,0.27,0,0,1,3,4,0.25,248.998,227.003666666667,0.52,232.50225,2
7764,32,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1603,31,95,17,1,1,200,466.008,666.01,0.3,0,0,1,3,4,0.25,200,155.336,0.56,166.502,2
7764,33,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1681,8,110,11,1,1,116.006,946.994,1063,0.11,0,0,1,4,5,0.2,116.006,236.7485,0.33,212.6,2
7764,34,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2279,23,110,14,1,1,432.999,732.993,1165.99,0.37,0,0,2,4,6,0.33,216.4995,183.24825,0.54,194.332,4
7764,35,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1840,6,110,17,1,1,150.003,881.022,1031.02,0.15,0,0,1,6,7,0.14,150.003,146.837,0.51,147.289285714286,2
7764,36,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1336,27,110,20,1,1,231.987,600.001,831.99,0.28,0,0,1,4,5,0.2,231.987,150.00025,0.61,166.3976,2
7764,4,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,2143,19,20,17,0,1,497.996,547.993,1045.99,0.48,0,1,2,2,4,0.5,248.998,273.9965,0.48,261.49725,3
7764,5,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,3673,3,35,11,0,2,448.014,1961.01,2409.02,0.19,0,0,3,7,10,0.3,149.338,280.144285714286,0.35,240.9024,4
7764,6,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1354,30,35,14,0,2,399.002,315.995,715,0.56,0,0,1,2,3,0.33,399.002,157.9975,0.72,238.332333333333,2
7764,7,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1619,16,35,17,0,2,317.005,399.999,717,0.44,0,0,1,2,3,0.33,317.005,199.9995,0.61,239.001333333333,2
7764,8,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,1587,32,35,20,0,2,482.01,397.99,880,0.55,0,0,2,2,4,0.5,241.005,198.995,0.55,220,2
7764,9,13,"odd",22,"M",0.643,3,4.75,1.6,3.66666666666667,2,NA,NA,NA,4787,11,50,14,0,2,715.008,2647.989,3363,0.21,0,0,3,7,10,0.3,238.336,378.284142857143,0.39,336.2997,6
7809,1,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,4320,12,20,8,1,1,1513.996,1563.992,3077.99,0.49,1,0,4,6,10,0.4,378.499,260.665333333333,0.59,307.7988,5
7809,10,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2736,24,50,17,1,1,633.012,999,1632.01,0.39,1,0,4,3,7,0.57,158.253,333,0.32,233.144571428571,3
7809,11,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2314,26,50,20,1,1,564.992,750.003,1314.99,0.43,1,0,3,2,5,0.6,188.330666666667,375.0015,0.33,262.999,3
7809,12,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2170,33,50,23,1,1,681.011,615.001,1296.01,0.53,1,0,2,2,4,0.5,340.5055,307.5005,0.53,324.003,3
7809,13,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1014,32,65,17,1,1,334.003,349.004,683.01,0.49,1,0,2,2,4,0.5,167.0015,174.502,0.49,170.75175,1
7809,14,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1928,4,65,20,1,1,832.999,416.998,1250,0.67,0,0,3,2,5,0.6,277.666333333333,208.499,0.57,249.9994,2
7809,15,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2844,21,65,23,1,1,696.999,1430.003,2127,0.33,1,0,3,3,6,0.5,232.333,476.667666666667,0.33,354.500333333333,3
7809,16,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1516,15,80,20,1,1,850.009,216.999,1067.01,0.8,1,1,4,1,5,0.8,212.50225,216.999,0.49,213.4016,2
7809,17,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1760,25,80,23,1,1,365.99,632,997.99,0.37,1,1,2,1,3,0.67,182.995,632,0.22,332.663333333333,2
7809,18,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1898,8,95,23,1,1,416.998,732.007,1149.01,0.36,1,0,2,2,4,0.5,208.499,366.0035,0.36,287.25125,3
7809,19,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2908,7,35,5,1,1,1280.013,951.001,2231.01,0.57,1,0,4,3,7,0.57,320.00325,317.000333333333,0.5,318.716285714286,3
7809,2,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,3058,6,20,11,1,1,482.009,481.011,963.02,0.5,1,1,3,2,5,0.6,160.669666666667,240.5055,0.4,192.604,4
7809,20,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2151,5,50,5,1,1,597.991,366.004,964,0.62,1,1,2,2,4,0.5,298.9955,183.002,0.62,240.99875,2
7809,21,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1280,14,50,8,1,1,266.009,333.004,599.01,0.44,1,1,2,2,4,0.5,133.0045,166.502,0.44,149.75325,2
7809,22,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1409,20,65,5,1,1,334.004,599.014,933.02,0.36,0,0,2,3,5,0.4,167.002,199.671333333333,0.46,186.6036,2
7809,23,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1153,27,65,8,1,1,282.996,165.005,448,0.63,1,0,1,1,2,0.5,282.996,165.005,0.63,224.0005,1
7809,24,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1029,31,65,11,1,1,330.996,330.995,661.99,0.5,1,0,2,1,3,0.67,165.498,330.995,0.33,220.663666666667,1
7809,25,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1769,10,80,5,1,1,434.01,284.006,718.02,0.6,0,1,3,2,5,0.6,144.67,142.003,0.5,143.6032,3
7809,26,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2530,3,80,8,1,1,967,298.982,1265.98,0.76,1,1,4,2,6,0.67,241.75,149.491,0.62,210.997,2
7809,27,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1168,16,80,11,1,1,550.015,299.008,849.02,0.65,1,1,4,2,6,0.67,137.50375,149.504,0.48,141.503833333333,2
7809,28,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2166,22,80,14,1,1,780.979,647.001,1427.98,0.55,1,0,4,2,6,0.67,195.24475,323.5005,0.38,237.996666666667,3
7809,29,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2978,28,95,8,1,1,1231.001,947.993,2178.99,0.56,1,1,5,4,9,0.56,246.2002,236.99825,0.51,242.110444444444,4
7809,3,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,4265,17,20,14,0,3,1681.012,1497.997,3179.01,0.53,1,0,5,4,9,0.56,336.2024,374.49925,0.47,353.223222222222,5
7809,30,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,3185,36,95,11,1,1,2128.998,314.995,2443.99,0.87,1,1,6,1,7,0.86,354.833,314.995,0.53,349.141857142857,2
7809,31,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,2810,9,95,14,1,1,666.009,932.006,1598.01,0.42,1,0,3,4,7,0.43,222.003,233.0015,0.49,228.287857142857,3
7809,32,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1712,2,95,17,1,1,316.992,516.007,833,0.38,1,1,2,2,4,0.5,158.496,258.0035,0.38,208.24975,2
7809,33,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1834,13,110,11,1,1,566.003,448.999,1015,0.56,1,1,3,2,5,0.6,188.667666666667,224.4995,0.46,203.0004,2
7809,34,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1889,19,110,14,1,1,365.004,481.997,847,0.43,1,0,2,1,3,0.67,182.502,481.997,0.27,282.333666666667,1
7809,35,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1115,30,110,17,1,1,150.003,350.004,500.01,0.3,1,0,1,2,3,0.33,150.003,175.002,0.46,166.669,1
